corridor,median_delay_ratio
IND742121AAA → IND742101AAC,3.6923076923076925
IND852201AAA → IND854326AAB,3.6818181818181817
IND600044AAD → IND603203AAA,3.670955882352941
IND400701AAA → IND400705AAA,3.6666666666666665
IND210001AAA → IND210427AAA,3.661458333333333
IND792121AAB → IND786181AAC,3.6538461538461537
IND560077AAA → IND560099AAB,3.6503496503496504
IND203001AAA → IND203131AAA,3.6153846153846154
IND152026AAA → IND160002AAC,3.614624183006536
IND533106AAA → IND533308AAB,3.607142857142857
IND501301AAC → IND500039AAC,3.6045454545454545
IND462022AAA → IND462042AAA,3.6041666666666665
IND477001AAB → IND474003AAA,3.6
IND841424AAA → IND841428AAA,3.5973084886128364
IND000000ACB → IND301705AAA,3.588235294117647
IND842001AAA → IND843109AAB,3.585714285714286
IND713205AAB → IND722143AAB,3.58
IND852111AAA → IND854326AAB,3.567418822234452
IND812002AAA → IND813203AAA,3.5652173913043477
IND854326AAB → IND854334AAA,3.5625
IND110039AAA → IND110085AAB,3.5589743589743588
IND462001AAA → IND462022AAA,3.547008547008547
IND484661AAE → IND484551AAA,3.541666666666667
IND400072AAB → IND400011AAA,3.5404411764705883
IND742202AAA → IND732103AAA,3.537581699346405
IND742148AAA → IND742225AAA,3.5357142857142856
IND712311AAA → IND700088AAA,3.5357142857142856
IND173220AAA → IND173212AAA,3.53125
IND144001AAB → IND144601AAA,3.53125
IND507159AAA → IND507002AAA,3.52
IND802213AAB → IND802212AAA,3.5
IND370001AAA → IND370110AAA,3.4872549019607844
IND535001AAA → IND530012AAA,3.460606060606061
IND233001AAA → IND275503AAA,3.4523809523809526
IND784168AAB → IND791111AAC,3.4469565217391303
IND842001AAA → IND843301AAA,3.4456521739130435
IND562114AAA → IND560067AAC,3.4444444444444446
IND131028AAB → IND250611AAA,3.4423076923076925
IND585307AAB → IND585104AAA,3.440677966101695
IND211011AAA → IND212501AAA,3.4285714285714284
IND580028AAA → IND580002AAA,3.4285714285714284
IND505425AAA → IND504215AAA,3.4166666666666665
IND733102AAA → IND732103AAB,3.411764705882353
IND134203AAA → IND160002AAC,3.411764705882353
IND742121AAB → IND742101AAC,3.400326797385621
IND625218AAA → IND624703AAA,3.399206349206349
IND560300AAA → IND560078AAC,3.395121951219512
IND431112AAB → IND431136AAC,3.3938216796152423
IND273304AAA → IND273014AAB,3.3868131868131868
IND788121AAA → IND796081AAA,3.3863636363636362
IND852131AAA → IND852139AAB,3.380952380952381
IND144001AAB → IND160002AAC,3.375
IND152107AAA → IND152026AAA,3.3682065217391304
IND632301AAA → IND632006AAA,3.368181818181818
IND390020AAA → IND390018AAB,3.3636363636363638
IND209801AAA → IND209304AAA,3.347826086956522
IND584101AAA → IND518002AAA,3.345543345543345
IND500008AAF → IND500039AAC,3.3333333333333335
IND173212AAA → IND173220AAA,3.3076923076923075
IND742121AAB → IND742121AAA,3.3038461538461537
IND712311AAA → IND700065AAA,3.301948051948052
IND695012AAB → IND695012AAA,3.3
IND231205AAA → IND231216AAA,3.3
IND224001AAA → IND224141AAB,3.2967032967032965
IND125111AAA → IND125121AAA,3.295866935483871
IND201005AAA → IND201007AAA,3.2857142857142856
IND110014AAA → IND110024AAA,3.2857142857142856
IND643212AAA → IND641062AAD,3.284090909090909
IND400037AAA → IND400072AAJ,3.2788461538461537
IND311301AAA → IND305624AAA,3.2729885057471266
IND421302AAR → IND421004AAA,3.272727272727273
IND301019AAA → IND301705AAA,3.2592385218365063
IND733140AAA → IND732103AAA,3.257142857142857
IND721134AAB → IND712310AAE,3.2511773940345368
IND110092AAC → IND110093AAA,3.25
IND132001AAA → IND132103AAB,3.25
IND732103AAB → IND732202AAA,3.25
IND421601AAB → IND421302AAG,3.25
IND444303AAA → IND444203AAA,3.242424242424242
IND712310AAE → IND712103AAA,3.238095238095238
IND226004AAA → IND226016AAA,3.238095238095238
IND721306AAA → IND721253AAC,3.238095238095238
IND743395AAA → IND700053AAA,3.2363636363636363
IND481661AAA → IND842003AAB,3.2353846153846155
IND600056AAA → IND602105AAB,3.229166666666667
IND221706AAA → IND273014AAB,3.227732793522267
IND110093AAA → IND110092AAC,3.2222222222222223
IND631501AAA → IND631003AAA,3.2222222222222223
IND506314AAA → IND506002AAA,3.217391304347826
IND110037AAM → IND110020AAB,3.217391304347826
IND391110AAD → IND390020AAA,3.2142857142857144
IND791109AAA → IND787001AAA,3.208931419457735
IND586128AAA → IND585104AAA,3.200152207001522
IND751021AAA → IND751002AAB,3.2
