hub,degree_centrality,betweenness,pagerank,clustering
IND173220AAA,0.0006747638326585695,0.0,0.000599665158471192,0.0
IND175018AAA,0.001349527665317139,0.0024671479769386587,0.000866649724863551,0.0
IND174021AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND176048AAA,0.001349527665317139,0.00040959668167458063,0.00027101940069387207,0.0
IND174101AAB,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND175001AAA,0.001349527665317139,0.0024562132490630302,0.0008837034915731428,0.0
IND175101AAA,0.001349527665317139,0.0024452785211874018,0.0008982736456979882,0.0
IND175015AAA,0.001349527665317139,0.0008182821360261923,0.0003768913014107839,0.0
IND176061AAA,0.001349527665317139,0.00040914106801309615,0.00027101940069387207,0.0
IND176110AAB,0.001349527665317139,0.00040959668167458063,0.000271019400693872,0.0
IND177033AAA,0.001349527665317139,0.0008182821360261923,0.0003768913014107838,0.0
IND176303AAA,0.001349527665317139,1.3668409844535506e-06,0.0009665746135737387,0.0
IND176215AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND176310AAA,0.001349527665317139,1.3668409844535506e-06,0.0009665746135737387,0.0
IND177001AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND184121AAA,0.0033738191632928472,0.0004086854543516116,0.0009619152136267707,0.8333333333333334
IND181152AAB,0.0033738191632928472,0.0008273944092558826,0.0006459458489943815,0.5
IND181201AAB,0.001349527665317139,0.0,0.0004005598960738709,0.0
IND201001AAA,0.001349527665317139,0.0,0.0007316454197655784,0.0
IND245101AAA,0.002699055330634278,0.0,0.0015572271471942338,1.0
IND245304AAA,0.002699055330634278,0.0,0.0017125450253714996,1.0
IND201007AAB,0.001349527665317139,0.0,0.000146482914698331,1.0
IND250002AAA,0.001349527665317139,0.0004082298406901271,0.0005649390651884707,1.0
IND201304AAA,0.001349527665317139,0.0,0.0012518721820314212,0.0
IND203205AAA,0.0006747638326585695,0.0,0.0011778336826497831,0.0
IND201301AAL,0.0020242914979757085,1.3668409844535506e-06,0.0003843672717244069,0.0
IND201307AAA,0.001349527665317139,0.0,0.0002797856077802448,0.0
IND201306AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND205001AAB,0.004048582995951417,0.003315956228284314,0.0008573795196630456,0.2
IND207123AAA,0.0006747638326585695,0.0,0.00026792516245713544,0.0
IND202001AAC,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND204215AAA,0.001349527665317139,0.00041005229533606517,0.00027101940069387207,0.0
IND203001AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND203131AAA,0.001349527665317139,2.733681968907101e-06,0.000271019400693872,0.0
IND203135AAA,0.0020242914979757085,4.556136614845169e-06,0.0003768913014107838,0.3333333333333333
IND203390AAA,0.0020242914979757085,5.467363937814202e-06,0.0005663887262792443,0.3333333333333333
IND203396AAB,0.001349527665317139,0.0,0.00031382961809944387,1.0
IND204101AAA,0.001349527665317139,0.0,0.00045000826903953425,0.0
IND207001AAA,0.001349527665317139,0.0008191933633491613,0.0003768913014107839,0.0
IND205135AAA,0.001349527665317139,0.0004191645685657555,0.0004388844604265305,0.0
IND209721AAB,0.001349527665317139,0.0008401515917774491,0.0003543662064399007,0.0
IND283203AAA,0.001349527665317139,0.0004082298406901271,0.0005197103442225937,0.0
IND206001AAA,0.001349527665317139,0.0004082298406901269,0.0004980829138977999,0.0
IND206122AAA,0.001349527665317139,0.0004191645685657555,0.00041358753126002857,0.0
IND207302AAA,0.001349527665317139,0.0012274232040392883,0.0004669179723135894,0.0
IND207247AAB,0.0020242914979757085,0.0008182821360261923,0.0003881374722467519,0.3333333333333333
IND208006AAA,0.001349527665317139,0.0,0.0005349134158614137,0.0
IND208012AAA,0.001349527665317139,0.0,0.00033668489530236064,0.0
IND208017AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND208019AAA,0.001349527665317139,0.0,0.0010128030094102962,0.0
IND209101AAA,0.001349527665317139,0.0016739245922941148,0.0006832219379377125,0.0
IND209111AAA,0.001349527665317139,0.0016629898644184866,0.0007272969815878264,0.0
IND285001AAD,0.001349527665317139,0.0016520551365428581,0.000765375561762,0.0
IND209206AAB,0.001349527665317139,0.00042007579588872456,0.00032371410908123765,0.0
IND210301AAA,0.0006747638326585695,0.0,0.00042168223147506713,0.0
IND209801AAA,0.001349527665317139,0.0,0.0005630008790809815,0.0
IND211002AAB,0.006072874493927126,0.008259820069052806,0.0018106996696674357,0.03571428571428571
IND212601AAA,0.001349527665317139,0.0008378735234700265,0.0005185168652684522,0.0
IND221313AAA,0.002699055330634278,0.00335696145781792,0.0005376088490356597,0.16666666666666666
IND209625AAA,0.001349527665317139,0.00042053140955020904,0.0004478265780920509,0.0
IND241124AAB,0.0006747638326585695,0.0,0.0005272545920056578,0.0
IND210001AAA,0.001349527665317139,0.0008269387955943981,0.0005872825073933982,0.0
IND210427AAA,0.001349527665317139,0.0008160040677187698,0.0006461643146537867,0.0
IND210431AAA,0.001349527665317139,0.0016301856807916016,0.0008244630917770706,0.0
IND210501AAB,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND211011AAA,0.001349527665317139,0.0008378735234700265,0.0007115115997772594,0.0
IND211013AAA,0.0006747638326585695,0.0,0.0007065823247810969,0.0
IND485001AAC,0.004723346828609986,0.002935291014114,0.0006011607909276295,0.14285714285714285
IND211008AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND212501AAA,0.001349527665317139,0.0008269387955943981,0.0007513544695935659,0.0
IND212402AAA,0.001349527665317139,0.0008160040677187698,0.0007862707869441375,0.0
IND221010AAB,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND233001AAA,0.001349527665317139,4.5561366148451686e-07,0.00027101940069387207,0.0
IND232101AAB,0.001349527665317139,0.0012602273876661735,0.00041422830278491714,0.0
IND276128AAA,0.001349527665317139,0.0012602273876661735,0.00025441519011607395,0.0
IND221706AAA,0.001349527665317139,0.0012410916138838241,0.0006602989824795611,0.0
IND273014AAB,0.0067476383265856945,0.005376696819178784,0.002344875632848576,0.0
IND223101AAB,0.001349527665317139,0.0004209870232116936,0.00045490191363095286,0.0
IND222125AAB,0.0006747638326585695,0.0,0.0005333524462122534,0.0
IND224001AAA,0.0006747638326585695,0.0,0.000146482914698331,0.0
IND224141AAB,0.001349527665317139,4.5561366148451686e-07,0.00027101940069387207,0.0
IND224122AAA,0.0006747638326585695,0.0,0.0003768913014107839,0.0
