source_center,destination_center,avg_actual_time,avg_osrm_time,trip_count,delay_ratio
IND110037AAK,IND000000ACB,78.36158192090396,26.508474576271187,177,2.9560954816709293
IND110037AAM,IND000000ACB,54.75,34.291666666666664,24,1.5965978128797085
IND110037AAM,IND110020AAB,75.03846153846153,20.23076923076923,26,3.709125475285171
IND110037AAM,IND110024AAA,50.888888888888886,19.416666666666668,36,2.6208869814020024
IND110037AAM,IND110035AAC,45.236111111111114,16.791666666666668,72,2.693961952026468
IND110037AAM,IND110085AAB,44.130434782608695,18.456521739130434,46,2.391048292108363
IND110037AAM,IND121004AAB,47.36231884057971,20.456521739130434,138,2.3152674459794547
IND110037AAM,IND125001AAA,187.57142857142858,80.0,7,2.3446428571428575
IND110037AAM,IND131028AAB,79.6,40.8,5,1.9509803921568627
IND110037AAM,IND201001AAC,59.6551724137931,32.10344827586207,29,1.8582169709989258
IND110037AAM,IND201007AAA,57.388888888888886,27.72222222222222,18,2.070140280561122
IND110037AAM,IND201301AAD,79.88888888888889,25.22222222222222,9,3.1674008810572687
IND110037AAM,IND201301AAF,54.13333333333333,27.333333333333332,15,1.9804878048780488
IND110037AAM,IND202001AAB,135.4078947368421,80.6842105263158,152,1.678245270711024
IND110037AAM,IND209304AAA,333.6971046770601,170.1425389755011,449,1.9612796816503912
IND110037AAM,IND226004AAC,378.75,202.75,20,1.8680641183723798
IND110037AAM,IND250002AAC,428.5,69.375,8,6.1765765765765765
IND110037AAM,IND282001AAA,162.0,80.125,32,2.0218408736349454
IND110037AAM,IND282001AAC,162.75,80.875,8,2.012364760432767
IND110037AAM,IND282002AAD,154.25,80.125,8,1.9251170046801873
IND110037AAM,IND421302AAG,1048.678527607362,524.3496932515337,815,1.9999602194947876
IND110037AAM,IND781018AAB,1861.8676470588234,684.3970588235294,68,2.720449515460152
IND110037AAM,IND811399AAA,71.04545454545455,35.5,22,2.001280409731114
IND110039AAA,IND110085AAB,53.166666666666664,13.833333333333334,6,3.8433734939759034
IND110043AAA,IND000000ACB,105.3157894736842,28.842105263157894,19,3.6514598540145986
IND110043AAA,IND110078AAA,32.45454545454545,19.166666666666668,66,1.693280632411067
IND110043AAC,IND000000ACB,56.4,34.8,5,1.620689655172414
IND110044AAB,IND000000ACB,62.82119205298013,37.65342163355408,453,1.6684059330480154
IND110044AAB,IND110030AAD,22.2,14.016666666666667,60,1.5838287752675384
IND110044AAB,IND110037AAM,39.714285714285715,20.142857142857142,7,1.971631205673759
IND110044AAB,IND131028AAB,56.865,37.91,200,1.5000000000000002
IND110044AAB,IND201007AAA,57.40909090909091,19.0,22,3.0215311004784686
IND110044AAB,IND201301AAF,27.916666666666668,13.583333333333334,24,2.0552147239263805
IND110052AAA,IND000000ACB,76.12857142857143,41.48571428571429,70,1.8350550964187329
IND110064AAA,IND000000ACB,183.94372294372295,35.43290043290043,231,5.191325595601711
IND110078AAA,IND110043AAA,46.964285714285715,18.214285714285715,28,2.5784313725490193
IND110085AAB,IND000000ACB,133.42857142857142,40.95918367346939,49,3.257598405580468
IND110085AAB,IND110039AAA,26.571428571428573,15.0,7,1.7714285714285716
IND110085AAB,IND110083AAA,54.0,14.8,5,3.6486486486486487
IND110085AAB,IND110087AAA,28.4,13.0,5,2.1846153846153844
IND110092AAC,IND000000ACB,81.8048780487805,41.51219512195122,41,1.9706227967097532
IND110095AAB,IND000000ACB,64.85714285714286,44.142857142857146,7,1.4692556634304208
IND121001AAA,IND121004AAB,25.877551020408163,10.387755102040817,49,2.491159135559921
IND121002AAB,IND000000ACB,90.73006134969326,40.41717791411043,163,2.2448391013964786
IND121004AAA,IND121004AAB,32.75,11.15,20,2.937219730941704
IND121004AAB,IND000000ACB,77.05820105820106,40.61904761904762,189,1.8970952194867787
IND121004AAB,IND110037AAM,52.56363636363636,19.863636363636363,110,2.646224256292906
IND121004AAB,IND121001AAA,19.68888888888889,10.977777777777778,45,1.793522267206478
IND121004AAB,IND121004AAA,19.652173913043477,10.23913043478261,46,1.91932059447983
IND121004AAB,IND121004AAC,23.944444444444443,10.61111111111111,18,2.256544502617801
IND121004AAB,IND121102AAA,42.34634146341463,20.01951219512195,205,2.1152534113060426
IND121004AAC,IND121004AAB,49.083333333333336,10.583333333333334,12,4.637795275590551
IND121102AAA,IND121004AAB,89.9423076923077,20.46153846153846,52,4.3956766917293235
IND122001AAA,IND000000ACB,45.2125,25.75,80,1.7558252427184466
IND122001AAA,IND122001AAD,37.0,11.833333333333334,6,3.1267605633802815
IND122001AAD,IND122050AAA,41.421052631578945,19.05263157894737,19,2.1740331491712706
IND122001AAJ,IND507123AAA,38.07692307692308,50.5,26,0.753998476770754
IND122002AAD,IND122503AAA,35.42857142857143,15.571428571428571,7,2.2752293577981653
IND122004AAA,IND122413AAE,45.45614035087719,25.789473684210527,171,1.7625850340136053
IND122503AAA,IND122001AAA,81.75,21.25,8,3.847058823529412
IND123001AAA,IND123401AAB,52.38461538461539,29.615384615384617,26,1.7688311688311689
IND123401AAB,IND000000ACB,100.66666666666667,46.111111111111114,9,2.183132530120482
IND123401AAB,IND123106AAB,78.06666666666666,40.0,30,1.9516666666666667
IND124001AAB,IND126102AAA,78.41666666666667,31.833333333333332,12,2.4633507853403143
IND124103AAA,IND127021AAA,72.29629629629629,38.48148148148148,27,1.8787295476419632
IND124112AAA,IND125001AAA,96.0,34.0,6,2.823529411764706
IND124112AAA,IND125005AAA,92.33333333333333,34.166666666666664,6,2.702439024390244
IND124112AAA,IND125033AAA,41.25,23.25,8,1.7741935483870968
IND124141AAA,IND000000ACB,113.23076923076923,62.794871794871796,39,1.8031849734585543
IND124507AAA,IND131028AAB,103.16666666666667,42.166666666666664,18,2.4466403162055337
IND124507AAA,IND131028AAE,109.0,41.833333333333336,6,2.605577689243028
IND125001AAA,IND000000ACB,174.38571428571427,86.74285714285715,70,2.010375494071146
IND125001AAA,IND110037AAM,274.68831168831167,88.79220779220779,77,3.0936083077373118
IND125001AAA,IND125047AAB,60.285714285714285,30.071428571428573,14,2.004750593824228
IND125001AAA,IND335513AAA,160.23529411764707,93.49019607843137,51,1.7139261744966445
IND125001AAA,IND335523AAB,254.8,85.6,20,2.976635514018692
IND125001AAA,IND335524AAA,191.06666666666666,103.5,30,1.8460547504025764
IND125005AAA,IND000000ACB,158.45714285714286,86.97142857142858,35,1.8219448094612352
IND125005AAA,IND125047AAB,65.83333333333333,29.833333333333332,6,2.206703910614525
